newanchor2 watcher start entity_graph_35m_newanchor_epoch2_conservative_20260630_233543 2026-06-30T23:36:01+00:00
waiting newanchor2 checkpoint entity_graph_35m_newanchor_epoch2_conservative_20260630_233543 2026-06-30T23:36:01+00:00
waiting newanchor2 checkpoint entity_graph_35m_newanchor_epoch2_conservative_20260630_233543 2026-06-30T23:39:01+00:00
waiting newanchor2 checkpoint entity_graph_35m_newanchor_epoch2_conservative_20260630_233543 2026-06-30T23:42:01+00:00
waiting newanchor2 checkpoint entity_graph_35m_newanchor_epoch2_conservative_20260630_233543 2026-06-30T23:45:01+00:00
waiting newanchor2 checkpoint entity_graph_35m_newanchor_epoch2_conservative_20260630_233543 2026-06-30T23:48:01+00:00
waiting newanchor2 checkpoint entity_graph_35m_newanchor_epoch2_conservative_20260630_233543 2026-06-30T23:51:01+00:00
waiting newanchor2 checkpoint entity_graph_35m_newanchor_epoch2_conservative_20260630_233543 2026-06-30T23:54:01+00:00
waiting newanchor2 checkpoint entity_graph_35m_newanchor_epoch2_conservative_20260630_233543 2026-06-30T23:57:01+00:00
waiting newanchor2 checkpoint entity_graph_35m_newanchor_epoch2_conservative_20260630_233543 2026-07-01T00:00:01+00:00
waiting newanchor2 checkpoint entity_graph_35m_newanchor_epoch2_conservative_20260630_233543 2026-07-01T00:03:01+00:00
waiting newanchor2 checkpoint entity_graph_35m_newanchor_epoch2_conservative_20260630_233543 2026-07-01T00:06:01+00:00
waiting newanchor2 checkpoint entity_graph_35m_newanchor_epoch2_conservative_20260630_233543 2026-07-01T00:09:01+00:00
waiting newanchor2 checkpoint entity_graph_35m_newanchor_epoch2_conservative_20260630_233543 2026-07-01T00:12:01+00:00
waiting newanchor2 checkpoint entity_graph_35m_newanchor_epoch2_conservative_20260630_233543 2026-07-01T00:15:01+00:00
newanchor2 checkpoint ready entity_graph_35m_newanchor_epoch2_conservative_20260630_233543 2026-07-01T00:18:01+00:00
newanchor2 eval launched entity_graph_35m_newanchor_epoch2_conservative_20260630_233543 2026-07-01T00:18:07+00:00
